Feature,Importance
T_Amp_III,0.0013269857926219229
Q_PeakTime_aVF,0.001323571459486907
T-_Amp_III,0.0013052774522478458
Q_Amp_V4,0.0013050203981068897
Q_PeakTime_III,0.0012956271875428698
T-_Dur_V5,0.0012950426958090926
Pp_Dur_aVL,0.0012729097870567909
Q_Area_V2,0.0012697499214019922
P_Dur_V4,0.0012589721872384456
P+_Dur_aVF,0.0012488451944683851
P_DurFull_V3,0.0012477961837726456
T-_Amp_V1,0.0012386683267353782
Q_PeakTime_V1,0.0012375509830204556
T-_Dur_III,0.0012288245443260628
P_DurFull_III,0.0012264606588267548
T_Dur_V2,0.001225891111169989
T-_Dur_V1,0.00122306753190183
S_Dur_aVR,0.0012201305917341862
P_Dur_V3,0.0012021768625807886
P+_Dur_V3,0.0011936402180076661
T+_Dur_aVR,0.0011836741888161622
P-_Dur_V2,0.0011604457000523047
P_Dur_aVF,0.0011564389192321638
Q_PeakTime_I,0.0011459070049922803
P-_Dur_III,0.0011249421765214874
P_DurFull_aVL,0.001113631139791539
T-_Dur_aVF,0.001108670882955667
T-_Amp_aVL,0.0010939037749914736
P_Dur_II,0.001050203234565018
Pp_Dur_III,0.0010366406246341007
Pp_Dur_V2,0.0010334071550336746
T-_Dur_II,0.00103017990181412
Q_Area_V3,0.0010111716441993633
Pp_PeakTime_aVL,0.0010082039758128952
P_DurFull_aVF,0.0010051570911161695
Pp_PeakTime_V2,0.0009838362390637177
Pp_PeakTime_III,0.0009821378847907724
P+_Dur_II,0.0009668643504452212
Q_PeakTime_V6,0.00095775876129125
S_PeakTime_aVR,0.0009482318695271546
Rp_Dur_aVR,0.0009403531106634823
T-_Amp_aVF,0.0009099617373529758
Tp_PeakTime_III,0.0009087246778061993
Rp_PeakTime_V2,0.0008903220379764561
Q_Dur_V3,0.0008830156156888071
Q_Amp_V2,0.0008821426355575953
T-_Dur_V4,0.0008808283253190092
T-_Amp_V2,0.0008787274986142451
Tp_Dur_aVL,0.0008744908487118417
P_DurFull_V4,0.0008637661590848623
Q_Amp_V1,0.0008416786297595413
Rp_Amp_III,0.0008296437442013639
P_Dur_I,0.0008151293497915395
T-_Amp_I,0.0008140833492457898
Rp_Amp_V1,0.0007867670240141136
T-_Dur_V2,0.000780591257784705
Rp_Dur_aVF,0.0007766138973608377
T-_Amp_II,0.0007700998788912607
Rp_Dur_III,0.0007687960753821121
Rp_PeakTime_III,0.0007537455664024199
P-_Dur_aVF,0.0007362606167157922
Rp_PeakTime_aVF,0.000735226120815565
Rp_Area_aVR,0.0007245222447436082
Tp_Dur_III,0.0007231790612854253
T-_Amp_V6,0.0007077096197154803
P-_Dur_II,0.0006873568488379656
T_Morph_V6,0.0006769296052911067
Q_Amp_V3,0.0006762539259536918
Tp_Dur_I,0.0006666157611199829
Q_PeakTime_V5,0.0006593664850589772
Q_PeakTime_V3,0.000656065087118265
Tp_Dur_V5,0.0006476649026715954
Tp_Dur_aVR,0.0006319896710920148
Tp_Dur_aVF,0.0006319135474337075
Tp_Amp_III,0.0006143322386640771
Rp_Dur_V2,0.0006066687435693092
P_DurFull_II,0.0005875661378722417
Rp_PeakTime_aVR,0.0005753396086466806
Tp_Amp_V6,0.0005722994981747973
Tp_Amp_V3,0.0005699689411242508
Tp_PeakTime_I,0.0005470761001776999
Rp_Area_III,0.0005380637115395383
P_DurFull_I,0.0005278445097570449
Tp_Dur_II,0.0005118383688583844
Pp_PeakTime_aVF,0.0005037688346327109
P_Dur_V6,0.000502566844954992
P-_Dur_V3,0.0005003640884967616
Tp_Dur_V6,0.0005003174473886709
Tp_PeakTime_aVL,0.00048664855470849296
Tp_Amp_aVR,0.00046421433105903
Rp_PeakTime_II,0.0004612759250942302
Tp_PeakTime_V3,0.0004579396938147434
Tp_Dur_V2,0.00044694490695245943
Tp_Amp_V4,0.00044550305978252976
Tp_Amp_aVL,0.00042724859421299296
P_DurFull_V5,0.0004133546766351466
Pp_PeakTime_V3,0.0004132529503618509
